id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype
125,10.236.40.254,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 13:50,1,0000-00-00 00:00:00,P1DCDL67,,,,,Hikvision
165,10.236.40.105,1,working,working,working,NULL,ok,239ms,30-07-2019 16:31,0,30-07-2019 16:31,P1DCHY17,1907729,1550336,2019-07-17T16:42:22Z,,Hikvision
166,10.236.40.109,1,working,working,working,NULL,ok,465ms,30-07-2019 16:31,0,30-07-2019 16:31,P1DCHY37,1907729,0,2019-06-28T23:36:22Z,,Hikvision
168,10.236.40.216,1,not working,not working,not working,NULL,ok,509ms,30-07-2019 16:16,0,30-07-2019 16:16,P1DCHY82,1907729,0,2019-07-07T12:20:49Z,,Hikvision
172,10.185.180.113,1,working,working,working,NULL,ok,529ms,30-07-2019 16:32,0,30-07-2019 16:32,P3DCKN01,1907729,0,,,Hikvision
173,10.185.182.30,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 16:32,1,0000-00-00 00:00:00,P3DCRD02,,,,,Hikvision
174,10.60.240.79,0,working,working,working,NULL,ok,1614ms,30-07-2019 16:32,0,30-07-2019 16:07,P1DCHY86,1907729,0,2019-05-25T04:55:06Z,,Hikvision
175,10.185.180.85,1,working,working,working,NULL,ok,682ms,30-07-2019 16:33,0,30-07-2019 16:33,P1DCDL63,1907729,0,2019-06-19T10:35:24Z,,Hikvision
176,10.236.40.111,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:33,0,0000-00-00 00:00:00,P1DCHY36,,,,,Hikvision
177,10.236.40.211,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:33,0,0000-00-00 00:00:00,P1DCHD02,,,,,Hikvision
179,10.236.40.91,1,working,working,working,NULL,ok,221ms,30-07-2019 16:34,0,30-07-2019 16:34,P1DCHY51,1907729,0,2019-06-12T00:08:57Z,,Hikvision
180,10.60.240.102,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:35,0,0000-00-00 00:00:00,P3DCHK04,,,,,Hikvision
181,10.236.212.29,1,working,working,working,NULL,ok,459ms,30-07-2019 16:35,0,30-07-2019 16:35,P3DCHK02,1907729,0,2019-05-19T05:02:07Z,,Hikvision
182,10.236.212.30,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 16:35,1,0000-00-00 00:00:00,P3DCGT11,,,,,Hikvision
183,10.236.40.190,1,working,working,working,NULL,ok,532ms,30-07-2019 16:36,0,30-07-2019 16:36,P3DCGT12,1907729,0,2019-05-14T22:32:56Z,,Hikvision
184,10.236.212.23,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:36,0,0000-00-00 00:00:00,P3DCHK03,,,,,Hikvision
185,10.236.212.13,1,working,not working,working,NULL,ok,531ms,30-07-2019 16:36,0,30-07-2019 16:36,P3DCWR02,1907729,0,2019-05-09T11:26:18Z,,Hikvision
186,10.236.40.227,1,working,working,working,NULL,ok,427ms,30-07-2019 16:36,0,30-07-2019 16:36,P3DCHK05,1907729,0,2019-07-09T07:52:25Z,,Hikvision
187,10.60.240.38,1,working,working,working,NULL,ok,548ms,30-07-2019 16:37,0,30-07-2019 16:37,P3DCHK01,1907729,0,2019-04-29T18:44:02Z,,Hikvision
188,10.236.40.69,1,working,working,working,NULL,ok,810ms,30-07-2019 16:37,0,30-07-2019 16:37,P3DCWR03,1907729,0,2019-07-18T22:21:32Z,,Hikvision
189,10.60.240.49,1,working,not working,working,NULL,notexist,450ms,30-07-2019 16:38,0,30-07-2019 16:38,P3DCGT04,1907729,0,,,Hikvision
192,10.236.40.200,1,working,not working,not working,NULL,ok,493ms,30-07-2019 16:38,0,30-07-2019 16:38,P3DCDL03,1907729,520192,,,Hikvision
193,10.236.212.12,1,working,working,working,NULL,notexist,583ms,30-07-2019 16:38,0,30-07-2019 16:38,P3DCND02,0,0,,,Hikvision
194,10.236.40.173,1,working,working,working,NULL,ok,407ms,30-07-2019 16:39,0,30-07-2019 16:39,P1DCHY08,1907729,0,2019-06-17T11:41:44Z,,Hikvision
195,10.185.181.63,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:40,0,0000-00-00 00:00:00,P1DCHY05,,,,,Hikvision
196,10.236.212.34,1,working,working,working,NULL,ok,361ms,30-07-2019 16:40,0,30-07-2019 16:40,P1DCPT11,1907729,0,2019-06-04T09:57:50Z,,Hikvision
197,10.236.212.35,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:40,0,0000-00-00 00:00:00,P1DCPT12,,,,,Hikvision
199,10.236.212.26,1,working,working,working,NULL,notexist,287ms,30-07-2019 16:40,0,30-07-2019 16:40,P3DCWN03,1907729,0,,,Hikvision
200,10.236.40.187,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:41,0,0000-00-00 00:00:00,P1DCHY48,,,,,Hikvision
201,10.185.180.77,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:41,0,0000-00-00 00:00:00,P1DCHY95,,,,,Hikvision
202,10.236.40.90,1,working,working,not working,NULL,notexist,533ms,30-07-2019 16:41,0,30-07-2019 16:41,P1DCHY96,1907729,0,,,Hikvision
203,10.236.212.33,1,working,working,working,NULL,ok,452ms,30-07-2019 16:42,0,30-07-2019 16:42,P1DCPT03,1907729,0,2019-07-02T05:11:39Z,,Hikvision
