id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype,live
890,10.185.180.184,1,working,working,working,NULL,ok,463ms,30-07-2019 22:18,0,30-07-2019 22:18,MC058502,1907729,0,,,Hikvision,Y
891,10.60.242.216,1,working,working,working,NULL,ok,441ms,30-07-2019 22:18,0,30-07-2019 22:18,P3ENHE25,1907729,0,2019-06-18T12:16:19Z,,Hikvision,Y
892,10.185.180.146,1,working,working,working,NULL,ok,752ms,30-07-2019 22:19,0,30-07-2019 22:19,P3DCLD03,1907729,0,,,Hikvision,Y
893,10.60.242.238,1,working,working,working,NULL,ok,449ms,30-07-2019 22:19,0,30-07-2019 22:19,MC000877,1907729,0,2019-05-19T16:38:18Z,,Hikvision,Y
894,10.60.240.36,0,working,working,working,NULL,ok,1287ms,30-07-2019 22:20,0,30-07-2019 21:52,P3ENCU02,1907729,0,2019-06-11T11:09:40Z,,Hikvision,Y
895,10.60.242.156,1,working,working,working,NULL,ok,759ms,30-07-2019 22:20,0,30-07-2019 22:20,P3ENFP04,1907729,0,2019-05-04T06:00:00Z,,Hikvision,Y
896,10.185.181.82,1,working,working,working,NULL,ok,605ms,30-07-2019 22:20,0,30-07-2019 22:20,P3ENRI34,1907729,571392,2019-05-25T15:23:08Z,,Hikvision,Y
897,10.60.241.148,1,working,working,working,NULL,ok,633ms,30-07-2019 22:21,0,30-07-2019 22:21,P3ECRI05,1907729,0,,,Hikvision,Y
898,10.185.181.103,1,working,working,working,NULL,notexist,829ms,30-07-2019 22:21,0,30-07-2019 22:21,MW003502,0,0,,,Hikvision,Y
900,10.60.243.19,1,working,working,working,NULL,ok,949ms,30-07-2019 22:22,0,30-07-2019 22:22,P3ENFP02,1907729,0,,,Hikvision,Y
901,10.185.181.100,1,working,working,working,NULL,ok,425ms,30-07-2019 22:22,0,30-07-2019 22:22,P3ENRI33,1907729,0,2019-07-11T09:02:02Z,,Hikvision,Y
902,10.60.242.11,1,working,working,working,NULL,ok,359ms,30-07-2019 22:22,0,30-07-2019 22:22,P3ENMO08,1907729,0,2019-05-19T09:41:50Z,,Hikvision,Y
903,10.236.40.203,1,working,working,working,NULL,ok,793ms,30-07-2019 22:23,0,30-07-2019 22:23,P3ENPA02,1907729,0,2019-05-11T06:00:00Z,,Hikvision,Y
904,10.60.243.89,1,working,working,working,NULL,ok,309ms,30-07-2019 22:23,0,30-07-2019 22:23,P3ENJD09,1907729,0,2019-07-15T15:47:03Z,,Hikvision,Y
905,10.60.243.38,1,working,working,working,NULL,ok,570ms,30-07-2019 22:23,0,30-07-2019 22:23,P3ENLK14,1907729,0,2019-04-25T19:09:47Z,,Hikvision,Y
906,10.60.242.111,1,working,working,working,NULL,ok,647ms,30-07-2019 22:24,0,30-07-2019 22:24,P3ECPM01,1907729,0,,,Hikvision,Y
907,10.60.242.148,1,working,working,working,NULL,ok,99ms,30-07-2019 22:24,0,30-07-2019 22:24,P3ENMS02,1907729,0,2019-04-27T16:16:41Z,,Hikvision,Y
908,10.236.40.22,1,working,working,working,NULL,ok,644ms,30-07-2019 22:24,0,30-07-2019 22:24,P3ENPT66,1907729,0,2019-06-15T01:22:51Z,,Hikvision,Y
909,10.60.242.161,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:25,0,0000-00-00 00:00:00,P3DCLO01,,,,,Hikvision,Y
910,10.60.243.26,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:25,0,0000-00-00 00:00:00,P3ENMA09,,,,,Hikvision,Y
911,10.185.181.29,1,working,working,working,NULL,notexist,613ms,30-07-2019 22:25,0,30-07-2019 22:25,MN016813,1907729,0,,,Hikvision,Y
912,10.60.242.123,1,working,working,working,NULL,ok,514ms,30-07-2019 22:26,0,30-07-2019 22:26,MC004891,1907729,0,2019-06-08T23:06:22Z,,Hikvision,Y
913,10.185.181.98,1,working,working,working,NULL,ok,735ms,30-07-2019 22:27,0,30-07-2019 22:27,P3ECCT02,1907729,0,,,Hikvision,Y
914,10.60.243.20,1,working,working,working,NULL,notexist,886ms,30-07-2019 22:27,0,30-07-2019 22:27,P3ENAL22,1907729,0,,,Hikvision,Y
915,10.60.243.3,0,working,working,working,NULL,ok,,30-07-2019 22:28,0,30-07-2019 18:03,P3ENDA02,1907729,0,2019-06-09T16:57:52Z,,Hikvision,Y
916,10.60.243.87,0,working,working,working,NULL,,,30-07-2019 22:28,0,30-07-2019 20:15,P3ENJU01,,,,,Hikvision,Y
917,10.60.242.252,0,working,working,working,NULL,ok,,30-07-2019 22:28,0,30-07-2019 21:06,P3DCPJ01,1907729,0,,,Hikvision,Y
918,10.60.242.174,1,working,working,working,NULL,ok,1038ms,30-07-2019 22:29,1,30-07-2019 20:40,P3ECFZ01,1907729,0,,,Hikvision,Y
919,10.60.242.181,1,working,working,working,NULL,ok,531ms,30-07-2019 22:29,0,30-07-2019 22:29,P3ECBB04,1907729,417792,2019-06-18T14:10:58Z,,Hikvision,Y
920,10.60.243.14,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:30,0,0000-00-00 00:00:00,P3ENKB01,,,,,Hikvision,Y
921,10.185.181.53,1,NULL,NULL,NULL,NULL,NULL,1092ms,30-07-2019 22:30,1,0000-00-00 00:00:00,P1ENCO05,,,,,Hikvision,Y
922,10.236.40.118,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 22:30,1,0000-00-00 00:00:00,P3ENHE26,,,,,Hikvision,Y
923,10.60.242.137,1,working,working,working,NULL,ok,390ms,30-07-2019 22:31,0,30-07-2019 22:31,P3ECJJ02,1907729,0,2019-05-09T17:39:18Z,,Hikvision,Y
924,10.185.180.186,1,working,working,working,NULL,unformatted,280ms,30-07-2019 22:31,0,30-07-2019 22:31,P3DCWG02,1907729,0,,,Hikvision,Y
925,10.185.180.178,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:31,0,0000-00-00 00:00:00,P1EWCH39,,,,,Hikvision,Y
926,10.185.181.81,1,working,working,working,NULL,ok,663ms,30-07-2019 22:31,0,30-07-2019 22:31,P3ENAG25,1907729,0,2019-06-18T10:13:15Z,,Hikvision,Y
927,10.185.180.185,1,working,working,working,NULL,ok,254ms,30-07-2019 22:32,0,30-07-2019 22:32,P3ENHE31,1907729,272384,2019-06-30T08:55:11Z,,Hikvision,Y
928,10.185.181.54,1,working,working,working,NULL,notexist,712ms,30-07-2019 22:32,0,30-07-2019 22:32,MC002105,0,0,,,Hikvision,Y
929,10.185.181.92,1,working,working,working,NULL,ok,692ms,30-07-2019 22:32,0,30-07-2019 22:32,P3ENOD28,1907729,0,2019-07-05T06:17:22Z,,Hikvision,Y
931,10.185.180.179,1,working,working,working,NULL,ok,583ms,30-07-2019 22:33,0,30-07-2019 22:33,MC004060,1907729,0,2019-04-27T04:32:41Z,,Hikvision,Y
932,10.60.243.46,1,working,working,working,NULL,ok,404ms,30-07-2019 22:33,0,30-07-2019 22:33,P1DCBU35,1907729,150528,2019-07-03T04:30:21Z,,Hikvision,Y
935,10.60.243.48,1,working,working,working,NULL,ok,203ms,30-07-2019 22:33,0,30-07-2019 22:33,P1DCBU31,1907729,0,2019-06-30T01:48:22Z,,Hikvision,Y
936,10.60.242.72,1,working,working,working,NULL,ok,440ms,30-07-2019 22:33,0,30-07-2019 22:33,P1DCBU05,1907729,0,2019-05-08T06:00:00Z,,Hikvision,Y
