"id","ip","status","cam1","cam2","cam3","cam4","hdd","latency","cdate","login_status","last_communication","atmid","capacity","freespace","recording_from","recording_to","dvrtype","live"
"227","10.60.240.90",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENGG02",,,,,"CPPLUS","Y"
"228","10.60.240.197","1","working","working","working",NULL,"ok","687ms","2019-08-01 15:33:48","0","2019-08-01 15:33:48","P3ENDL18","1907729","676864","2019-06-01T06:00:00Z",,"Hikvision","Y"
"229","10.185.181.24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENDL26",,,,,"CPPLUS","Y"
"230","10.60.243.140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENBT03",,,,,"CPPLUS","Y"
"231","10.185.181.31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENDL43",,,,,"CPPLUS","Y"
"232","10.60.240.14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENDB03",,,,,"CPPLUS","Y"
"233","10.236.212.231",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENCO12",,,,,"CPPLUS","Y"
"234","10.236.212.173",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH79",,,,,"CPPLUS","Y"
"235","10.236.212.229",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI36",,,,,"CPPLUS","Y"
"236","10.236.212.76",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI42",,,,,"CPPLUS","Y"
"237","10.236.212.80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH63",,,,,"CPPLUS","Y"
"238","10.236.212.208",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH37",,,,,"CPPLUS","Y"
"239","10.236.212.224",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI48",,,,,"CPPLUS","Y"
"240","10.236.212.236",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI08",,,,,"CPPLUS","Y"
"241","10.236.212.147",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH30",,,,,"CPPLUS","Y"
"242","10.236.212.168",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWCH80",,,,,"CPPLUS","Y"
"243","10.236.212.178",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWCH07",,,,,"CPPLUS","Y"
"244","10.236.212.175",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI39",,,,,"CPPLUS","Y"
"245","10.236.212.157","1","working","working","working",NULL,"ok","520ms","2019-08-01 15:33:57","0","2019-08-01 15:33:57","P1ENCN20","1907729","0","2019-07-13T14:04:07Z",,"Hikvision","Y"
"246","10.236.212.205",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI02",,,,,"CPPLUS","Y"
"247","10.236.212.148",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH16",,,,,"CPPLUS","Y"
"248","10.236.212.189",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENCI01",,,,,"CPPLUS","Y"
"249","10.236.212.166",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI34",,,,,"CPPLUS","Y"
